Row_Number,Column_Number,Field_Index,URL_Blue,URL_Green,URL_FarRed
8,1,0,H - 01(fld 01 wv 405 - Blue).tif,H - 01(fld 01 wv 488 - Green).tif,H - 01(fld 01 wv 642 - FarRed).tif
8,1,1,H - 01(fld 02 wv 405 - Blue).tif,H - 01(fld 02 wv 488 - Green).tif,H - 01(fld 02 wv 642 - FarRed).tif
8,1,2,H - 01(fld 03 wv 405 - Blue).tif,H - 01(fld 03 wv 488 - Green).tif,H - 01(fld 03 wv 642 - FarRed).tif
8,1,3,H - 01(fld 04 wv 405 - Blue).tif,H - 01(fld 04 wv 488 - Green).tif,H - 01(fld 04 wv 642 - FarRed).tif
8,1,4,H - 01(fld 05 wv 405 - Blue).tif,H - 01(fld 05 wv 488 - Green).tif,H - 01(fld 05 wv 642 - FarRed).tif
8,1,5,H - 01(fld 06 wv 405 - Blue).tif,H - 01(fld 06 wv 488 - Green).tif,H - 01(fld 06 wv 642 - FarRed).tif
8,1,6,H - 01(fld 07 wv 405 - Blue).tif,H - 01(fld 07 wv 488 - Green).tif,H - 01(fld 07 wv 642 - FarRed).tif
8,1,7,H - 01(fld 08 wv 405 - Blue).tif,H - 01(fld 08 wv 488 - Green).tif,H - 01(fld 08 wv 642 - FarRed).tif
8,1,8,H - 01(fld 09 wv 405 - Blue).tif,H - 01(fld 09 wv 488 - Green).tif,H - 01(fld 09 wv 642 - FarRed).tif
8,1,9,H - 01(fld 10 wv 405 - Blue).tif,H - 01(fld 10 wv 488 - Green).tif,H - 01(fld 10 wv 642 - FarRed).tif
8,1,10,H - 01(fld 11 wv 405 - Blue).tif,H - 01(fld 11 wv 488 - Green).tif,H - 01(fld 11 wv 642 - FarRed).tif
8,1,11,H - 01(fld 12 wv 405 - Blue).tif,H - 01(fld 12 wv 488 - Green).tif,H - 01(fld 12 wv 642 - FarRed).tif
8,2,0,H - 02(fld 01 wv 405 - Blue).tif,H - 02(fld 01 wv 488 - Green).tif,H - 02(fld 01 wv 642 - FarRed).tif
8,2,1,H - 02(fld 02 wv 405 - Blue).tif,H - 02(fld 02 wv 488 - Green).tif,H - 02(fld 02 wv 642 - FarRed).tif
8,2,2,H - 02(fld 03 wv 405 - Blue).tif,H - 02(fld 03 wv 488 - Green).tif,H - 02(fld 03 wv 642 - FarRed).tif
8,2,3,H - 02(fld 04 wv 405 - Blue).tif,H - 02(fld 04 wv 488 - Green).tif,H - 02(fld 04 wv 642 - FarRed).tif
8,2,4,H - 02(fld 05 wv 405 - Blue).tif,H - 02(fld 05 wv 488 - Green).tif,H - 02(fld 05 wv 642 - FarRed).tif
8,2,5,H - 02(fld 06 wv 405 - Blue).tif,H - 02(fld 06 wv 488 - Green).tif,H - 02(fld 06 wv 642 - FarRed).tif
8,2,6,H - 02(fld 07 wv 405 - Blue).tif,H - 02(fld 07 wv 488 - Green).tif,H - 02(fld 07 wv 642 - FarRed).tif
8,2,7,H - 02(fld 08 wv 405 - Blue).tif,H - 02(fld 08 wv 488 - Green).tif,H - 02(fld 08 wv 642 - FarRed).tif
8,2,8,H - 02(fld 09 wv 405 - Blue).tif,H - 02(fld 09 wv 488 - Green).tif,H - 02(fld 09 wv 642 - FarRed).tif
8,2,9,H - 02(fld 10 wv 405 - Blue).tif,H - 02(fld 10 wv 488 - Green).tif,H - 02(fld 10 wv 642 - FarRed).tif
8,2,10,H - 02(fld 11 wv 405 - Blue).tif,H - 02(fld 11 wv 488 - Green).tif,H - 02(fld 11 wv 642 - FarRed).tif
8,2,11,H - 02(fld 12 wv 405 - Blue).tif,H - 02(fld 12 wv 488 - Green).tif,H - 02(fld 12 wv 642 - FarRed).tif
8,3,0,H - 03(fld 01 wv 405 - Blue).tif,H - 03(fld 01 wv 488 - Green).tif,H - 03(fld 01 wv 642 - FarRed).tif
8,3,1,H - 03(fld 02 wv 405 - Blue).tif,H - 03(fld 02 wv 488 - Green).tif,H - 03(fld 02 wv 642 - FarRed).tif
8,3,2,H - 03(fld 03 wv 405 - Blue).tif,H - 03(fld 03 wv 488 - Green).tif,H - 03(fld 03 wv 642 - FarRed).tif
8,3,3,H - 03(fld 04 wv 405 - Blue).tif,H - 03(fld 04 wv 488 - Green).tif,H - 03(fld 04 wv 642 - FarRed).tif
8,3,4,H - 03(fld 05 wv 405 - Blue).tif,H - 03(fld 05 wv 488 - Green).tif,H - 03(fld 05 wv 642 - FarRed).tif
8,3,5,H - 03(fld 06 wv 405 - Blue).tif,H - 03(fld 06 wv 488 - Green).tif,H - 03(fld 06 wv 642 - FarRed).tif
8,3,6,H - 03(fld 07 wv 405 - Blue).tif,H - 03(fld 07 wv 488 - Green).tif,H - 03(fld 07 wv 642 - FarRed).tif
8,3,7,H - 03(fld 08 wv 405 - Blue).tif,H - 03(fld 08 wv 488 - Green).tif,H - 03(fld 08 wv 642 - FarRed).tif
8,3,8,H - 03(fld 09 wv 405 - Blue).tif,H - 03(fld 09 wv 488 - Green).tif,H - 03(fld 09 wv 642 - FarRed).tif
8,3,9,H - 03(fld 10 wv 405 - Blue).tif,H - 03(fld 10 wv 488 - Green).tif,H - 03(fld 10 wv 642 - FarRed).tif
8,3,10,H - 03(fld 11 wv 405 - Blue).tif,H - 03(fld 11 wv 488 - Green).tif,H - 03(fld 11 wv 642 - FarRed).tif
8,3,11,H - 03(fld 12 wv 405 - Blue).tif,H - 03(fld 12 wv 488 - Green).tif,H - 03(fld 12 wv 642 - FarRed).tif
8,4,0,H - 04(fld 01 wv 405 - Blue).tif,H - 04(fld 01 wv 488 - Green).tif,H - 04(fld 01 wv 642 - FarRed).tif
8,4,1,H - 04(fld 02 wv 405 - Blue).tif,H - 04(fld 02 wv 488 - Green).tif,H - 04(fld 02 wv 642 - FarRed).tif
8,4,2,H - 04(fld 03 wv 405 - Blue).tif,H - 04(fld 03 wv 488 - Green).tif,H - 04(fld 03 wv 642 - FarRed).tif
